

AGORA VAMOS VER SE TEM enderecos_evidencias

id_chave_endereco_evidencia	id_endereco_do_OSM	id_evidencia	nome_endereco_evidencia	time_stamp
1	1	1	NULL	2024-01-01 15:44:12
2	1	2	NULL	2024-01-01 17:17:27
3	2	3	NULL	2024-01-01 17:25:05
4	2	4	NULL	2024-01-01 17:28:44
5	3	5	NULL	2024-01-01 17:57:25
6	4	6	NULL	2024-01-01 17:58:25
7	3	7	NULL	2024-01-01 17:59:41
8	3	8	NULL	2024-01-01 18:01:11
9	5	9	NULL	2024-01-01 18:02:21
10	6	10	NULL	2024-01-01 18:04:01
11	6	11	NULL	2024-01-01 18:05:25
12	7	12	NULL	2024-01-01 18:06:39
13	7	13	NULL	2024-01-01 18:10:51
14	8	14	NULL	2024-01-01 18:12:27
15	9	15	NULL	2024-01-01 18:15:03
16	1	16	NULL	2024-01-01 18:16:42
17	2	17	NULL	2024-01-01 18:18:17
18	8	17	NULL	2024-01-01 18:18:17
19	3	18	NULL	2024-01-01 18:21:04
20	8	18	NULL	2024-01-01 18:21:04
21	2	19	NULL	2024-01-01 18:26:31
22	1	20	NULL	2024-01-01 18:29:14
23	10	21	NULL	2024-01-01 18:30:35
24	2	22	NULL	2024-01-01 18:31:35
25	2	23	NULL	2024-01-01 18:32:49
26	3	24	NULL	2024-01-01 18:34:23
27	8	24	NULL	2024-01-01 18:34:23
28	10	24	NULL	2024-01-01 18:34:23
29	3	27	NULL	2024-01-01 18:39:09
30	8	27	NULL	2024-01-01 18:39:09
31	3	28	NULL	2024-01-01 18:39:36
32	8	28	NULL	2024-01-01 18:39:36
33	11	29	NULL	2024-01-01 18:41:07
34	3	30	NULL	2024-01-01 18:42:49
35	8	30	NULL	2024-01-01 18:42:49
36	3	31	NULL	2024-01-01 18:45:05
37	8	31	NULL	2024-01-01 18:45:05
38	3	32	NULL	2024-01-01 18:46:38
39	8	32	NULL	2024-01-01 18:46:38
40	2	33	NULL	2024-01-01 18:59:36
41	1	34	NULL	2024-01-01 19:06:26
42	1	35	NULL	2024-01-01 19:09:47
43	12	36	NULL	2024-01-01 19:12:27
44	3	37	NULL	2024-01-01 19:19:36
45	8	37	NULL	2024-01-01 19:19:36
46	13	38	NULL	2024-01-01 19:21:26
